cod_municipio;y_proporcao_esgoto;x1_alfabetizacao;x2_densidade;x3_agua;x4_lixo;x5_metropolitana
3509007;0,875351854118223;0,9728;973,27;0,967017500917880;0,997827683270102;1
3509106;0,550767414403778;0,9127;9,92;0,593860684769776;0,654073199527745;0
3509205;0,798988970588235;0,9656;705,47;0,923253676470588;0,995680147058824;1
3509254;0,715985879979829;0,9355;62,75;0,803832576903681;0,976197680282400;0
3509304;0,965271847423854;0,9467;51,62;0,940222032450897;0,971818958155423;0
3509403;0,893367406202811;0,9532;36,10;0,882680915321176;0,956557091415960;0
3509452;0,801731996353692;0,9466;32,27;0,879671832269827;0,982224247948952;0
3509502;0,941968557280645;0,9761;1433,54;0,988555278516935;0,997695224925095;0
3509601;0,798440019499756;0,9683;977,70;0,920200997487531;0,996812539843252;0
3509700;0,845887016848365;0,9672;161,99;0,895441030723489;0,996531219028741;0
3509809;0,821902654867257;0,9355;10,10;0,820796460176991;0,922013274336283;0
3509908;0,808375056895767;0,9526;9,93;0,858898497951752;0,961766044606281;0
3509957;0,863492063492064;0,9585;92,58;0,939682539682540;0,979047619047619;0
3510005;0,938044974759064;0,9533;49,43;0,944102799449289;0,977971546581000;0
3510104;0,896551724137931;0,9457;40,75;0,892921960072595;0,923774954627949;0
3510153;0,967260471834376;0,9372;109,35;0,937409725565720;0,989407799711122;0
3510203;0,795824244312870;0,9434;28,25;0,876971019009037;0,955562480523528;0
3510302;0,695041438404270;0,9517;134,59;0,837617642927377;0,991852788312965;0
3510401;0,922933752108416;0,9694;155,07;0,969406153667190;0,994823474669924;0
3510500;0,843662608981740;0,9655;278,12;0,954453857542359;0,995085540384932;0
3510609;0,883502810816343;0,9664;11201,99;0,991995204432975;0,999130072445227;1
3510708;0,902454920703889;0,9351;17,75;0,907017162719965;0,969367803606344;0
3510807;0,904595814526057;0,9683;32,50;0,890541649569142;0,953016003282725;0
3510906;0,647769516728624;0,9311;14,60;0,700743494423792;0,914498141263940;0
3511003;0,770543270543271;0,9368;18,75;0,755801255801256;0,877013377013377;0
3511102;0,982365357118540;0,9686;398,46;0,979573772724178;0,995483534191235;0
3511201;0,956573705179283;0,9507;47,19;0,956175298804781;0,982470119521912;0
3511300;0,881658075601375;0,9687;63,78;0,888316151202749;0,954682130584192;0
3511409;0,900527098256521;0,9559;41,96;0,909717529395864;0,953642384105960;0
3511508;0,937059859154930;0,9773;349,72;0,944919517102616;0,994655432595573;0
3511607;0,729967426710098;0,9520;100,05;0,824267100977199;0,985830618892508;0
3511706;0,834456928838951;0,9524;88,34;0,973033707865169;0,991385767790262;0
3511904;0,964536243180047;0,9387;41,41;0,961418550272798;0,976227591582229;0
3512001;0,970731707317073;0,9560;43,77;0,954268292682927;0,967073170731707;0
3512100;0,861386138613861;0,9270;9,10;0,829961256995265;0,900129143349118;0
3512209;0,937500000000000;0,9395;153,73;0,934644670050761;0,982762267343486;0
3512308;0,761308778830681;0,9625;32,68;0,798140532808868;0,936527802610406;0
3512407;0,930363423212192;0,9710;178,18;0,959437280187573;0,991207502930832;0
3512506;0,920336467095497;0,9578;21,88;0,859970311726868;0,958931222167244;0
3512605;0,807134220072551;0,9125;14,09;0,840991535671100;0,915356711003628;0
3512704;0,634430727023320;0,9488;15,06;0,683127572016461;0,853909465020576;0
3512803;0,937185813771157;0,9665;386,47;0,949730203385140;0,996587188119725;0
3512902;0,826446280991736;0,9400;19,74;0,822467095194368;0,892561983471074;0
3513009;0,645833116172408;0,9700;846,97;0,934935112315630;0,994569239589305;1
3513108;0,981496167063177;0,9600;106,87;0,982024848004229;0,992157899374394;0
3513207;0,764868179031269;0,9432;24,07;0,757510729613734;0,919374616799509;0
3513306;0,852798053527981;0,9457;14,12;0,851581508515815;0,961070559610706;0
3513405;0,946780699133552;0,9776;245,21;0,982969823722737;0,995032865252465;0
3513504;0,779701179815919;0,9546;787,21;0,963059040682447;0,991818612656207;0
3513603;0,578376487053884;0,9328;15,71;0,597270818754374;0,793328668066247;0
3513702;0,929385964912281;0,9627;42,13;0,918421052631579;0,943684210526316;0
3513801;0,988158040103850;0,9678;12795,69;0,998356625973596;0,997348505772524;1
3513850;0,861370716510903;0,9072;18,38;0,867601246105919;0,970404984423676;0
3513900;0,618524707567438;0,9640;49,87;0,684172833611841;0,899737407495822;0
3514007;0,978543563068921;0,9078;58,50;0,975942782834850;0,989921976592978;0
3514106;0,976513098464318;0,9436;38,72;0,959914182475158;0,980465221318880;0
3514205;0,910935738444194;0,9244;28,32;0,906426155580609;0,950394588500564;0
3514304;0,958427328391879;0,9524;39,33;0,949081533999355;0,989042861746697;0
3514403;0,930121045552892;0,9653;93,24;0,960060815157008;0,980001169522250;0
3514502;0,887891440501044;0,9583;46,60;0,886847599164927;0,958246346555324;0
3514601;0,977851941747573;0,9608;85,04;0,977851941747573;0,988774271844660;0
3514700;0,844064826982041;0,9469;12,04;0,855453350854139;0,940867279894875;0
3514809;0,561331013484124;0,9243;7,90;0,572422792518486;0,859504132231405;0
3514908;0,845818669348081;0,9466;87,46;0,849840791017262;0,986760516172281;0
3514924;0,938344594594595;0,9367;33,39;0,933277027027027;0,994087837837838;0
3514957;0,890625000000000;0,9381;27,94;0,878348214285714;0,927455357142857;0
3515004;0,794851687691783;0,9577;3561,05;0,983895897261052;0,990555744971019;1
3515103;0,456787485040178;0,9553;430,29;0,789793127030262;0,989100700974526;1
3515129;0,879354290569244;0,9242;13,39;0,885301614273577;0,960917587085811;0
3515152;0,730389308541546;0,9421;177,97;0,735764090644974;0,977193492155723;0
3515186;0,915350907699798;0,9634;102,29;0,912846908256243;0,978994226890172;0
3515194;0,864372469635628;0,9172;21,46;0,861673414304993;0,940620782726046;0
3515202;0,842956120092379;0,9412;31,78;0,856235565819861;0,920900692840647;0
3515301;0,815653964984552;0,9242;10,20;0,808444902162719;0,817713697219361;0
3515350;0,625413633355394;0,8836;13,81;0,699205823957644;0,735936465916612;0
3515400;0,809033917376628;0,9546;38,77;0,819000160745861;0,949365053849863;0
3515509;0,967850548495710;0,9628;129,48;0,966329966329966;0,979399732087904;0
3515608;0,910634495084897;0,9365;34,95;0,907059874888293;0,929848078641644;0
3515657;0,606851549755302;0,9495;16,48;0,606851549755302;0,964110929853181;0
3515707;0,891877783396682;0,9619;6064,85;0,981631621017602;0,994584101401282;1
3515806;0,859016393442623;0,9182;6,62;0,857377049180328;0,868852459016393;0
3515905;0,866548042704626;0,9370;13,38;0,861209964412811;0,936832740213523;0
3516002;0,926767091541136;0,9412;24,72;0,917497103128621;0,943916570104287;0
3516101;0,877609108159393;0,9372;17,05;0,885199240986717;0,956356736242884;0
3516200;0,979205916151375;0,9793;582,05;0,983575800689488;0,996450934561175;0
3516309;0,685856974405216;0,9490;3370,11;0,979659429839772;0,987150586113616;1
3516408;0,788945436849896;0,9596;1090,94;0,981832559459843;0,992822238893733;1
3516507;0,887955182072829;0,9475;19,92;0,885154061624650;0,954248366013072;0
3516606;0,839819746005735;0,9359;17,93;0,808275297009422;0,931995083981975;0
3516705;0,964375442891194;0,9610;75,76;0,956773819493655;0,979643110223539;0
3516804;0,906099518459069;0,9100;18,01;0,900481540930979;0,975922953451043;0
3516853;0,948170731707317;0,9426;19,29;0,950609756097561;0,980487804878049;0
3516903;0,897486937049017;0,9397;20,86;0,908434934063200;0,955710375715352;0
